t,I(t)
0.0,1.000402703017019
1.0,1.952038486987619
2.0,2.857322465303196
3.0,3.7185595492800054
4.0,4.537890254601388
5.0,5.317316920991291
6.0,6.058716869790888
7.0,6.764003379259638
8.0,7.435028294619276
9.0,8.073506236689592
10.0,8.681024152277573
11.0,9.25911548519496
12.0,9.809208456555275
13.0,10.332708117118887
14.0,10.830919532623346
15.0,11.304999015406434
16.0,11.756088764293052
17.0,12.185345390613096
18.0,12.593883271599786
19.0,12.982688698401043
20.0,13.352661144768836
21.0,13.704691173765067
22.0,14.039672296718978
23.0,14.358461675834025
24.0,14.661744084285802
25.0,14.950264664144212
26.0,15.224706949693031
27.0,15.48575713694174
28.0,15.734093790324554
29.0,15.970354975586462
30.0,16.19512310223225
31.0,16.408921496026004
32.0,16.612274568545576
33.0,16.80565537395244
34.0,16.989510947385174
35.0,17.16431505010337
36.0,17.330596312301626
37.0,17.488826246437156
38.0,17.639379019150578
39.0,17.782617034902927
40.0,17.91880354256677
41.0,18.048298260556525
42.0,18.171374849814576
43.0,18.28839486295466
44.0,18.39960258656329
45.0,18.50529795649043
46.0,18.60572376672736
47.0,18.701193946366335
48.0,18.791967292158315
49.0,18.87826676473255
50.0,18.960340697394933
51.0,19.03837663511713
52.0,19.112577252275038
53.0,19.18314321710889
54.0,19.25021432352277
55.0,19.31391332661837
56.0,19.374407066394543
57.0,19.431828095409045
58.0,19.4862899573264
59.0,19.537894377731323
60.0,19.586841196648997
61.0,19.633233897565376
62.0,19.67716525073655
63.0,19.718741705140992
64.0,19.75814342147139
65.0,19.795502235383037
66.0,19.830901807990266
67.0,19.864386955971572
68.0,19.896125146322113
69.0,19.926273674814205
70.0,19.954978913772955
71.0,19.982308440401287
72.0,20.00832837244907
73.0,20.033135902430985
74.0,20.056679818898893
75.0,20.078980198244768
76.0,20.100027304908394
77.0,20.11993883403807
78.0,20.13882724046471
79.0,20.156734395793887
80.0,20.173682116425155
81.0,20.189743805706094
82.0,20.20502328011237
83.0,20.219579767387238
84.0,20.233490087727297
85.0,20.24685485246151
86.0,20.259624725737705
87.0,20.271834824337112
88.0,20.283498908509525
89.0,20.29463792375247
90.0,20.30524405257937
91.0,20.315389315848172
92.0,20.325099041547915
93.0,20.3344840303228
94.0,20.3435196171104
95.0,20.352221962569207
96.0,20.360568206460123
97.0,20.368552735442154
98.0,20.376161066610138
99.0,20.38337886614512
100.0,20.39028353469018
101.0,20.396841360959282
102.0,20.403022206268844
103.0,20.408927421858206
104.0,20.414474508434708
105.0,20.41972702000734
106.0,20.424677523827803
107.0,20.429325173990094
108.0,20.433618840598854
109.0,20.437580351206492
110.0,20.441229839774394
111.0,20.444583716845635
112.0,20.44764468481678
113.0,20.450386417000882
114.0,20.452878145302368
115.0,20.455163220004597
116.0,20.457288514084286
117.0,20.459262882683312
118.0,20.461089867272523
119.0,20.46281178765236
120.0,20.46445959272198
121.0,20.466076305014834
122.0,20.46765406924235
123.0,20.469190197969848
124.0,20.470740626029468
125.0,20.472295690702293
126.0,20.473824446822395
127.0,20.475268330136593
128.0,20.47665308530351
129.0,20.478002348878057
130.0,20.479363110188967
131.0,20.480732200954176
132.0,20.482091837151987
133.0,20.483348433682806
134.0,20.48448857091141
135.0,20.48549635059521
136.0,20.486422339079855
137.0,20.487273454857426
138.0,20.48794545783625
139.0,20.488471036838543
140.0,20.488943998196063
141.0,20.489414791684972
142.0,20.489790661345985
143.0,20.490019127700464
144.0,20.490126848494945
145.0,20.490200688499186
146.0,20.490229004253873
147.0,20.49023457175611
148.0,20.490232679611047
149.0,20.490142689053773
150.0,20.48989790767233
151.0,20.489508922552766
152.0,20.489049891288797
153.0,20.488630071366767
154.0,20.488200199318126
155.0,20.487645217390988
156.0,20.487094902139933
157.0,20.48653985086235
158.0,20.48600423433776
159.0,20.48552563790349
160.0,20.485065620675456
161.0,20.484582183838395
162.0,20.484183533355335
163.0,20.483924947845967
164.0,20.48382721994734
165.0,20.483890606537024
166.0,20.48412607500254
167.0,20.484414478978497
168.0,20.484736755679428
169.0,20.485148733239974
170.0,20.485686972150283
171.0,20.486387299985456
172.0,20.48715138779854
173.0,20.48791855639884
174.0,20.488682292502553
175.0,20.489475675294013
176.0,20.49031237069999
177.0,20.49126830304338
178.0,20.492324794665695
179.0,20.49349789354128
180.0,20.4947797395235
181.0,20.49613361713541
182.0,20.49750614778687
183.0,20.498920017020396
184.0,20.50045222054865
185.0,20.502042951913285
186.0,20.5036627128388
187.0,20.505287200625673
188.0,20.506926967569175
189.0,20.508618506621644
190.0,20.510315657880007
191.0,20.51204423061028
192.0,20.513794917861073
193.0,20.51557119443177
194.0,20.51735427608261
195.0,20.519118029068952
196.0,20.520791723361036
197.0,20.52229759226768
198.0,20.523706538953732
199.0,20.524948982485363
200.0,20.525977371561893
201.0,20.52682240625983
202.0,20.527487279584065
203.0,20.527887943950734
204.0,20.528044553413274
205.0,20.527968464619928
206.0,20.527664959446362
207.0,20.52718330046957
208.0,20.5265505409511
209.0,20.52565025919321
210.0,20.52456006852454
211.0,20.523225591390272
212.0,20.52173629941703
213.0,20.520119128319685
214.0,20.518420309604934
215.0,20.51662784242266
216.0,20.514780465488617
217.0,20.512902898244324
218.0,20.510989945010508
219.0,20.509004404758816
220.0,20.506927251558263
221.0,20.504827997793818
222.0,20.50269597381809
223.0,20.50062607444048
224.0,20.498555207012974
225.0,20.49638916510616
226.0,20.494075371194945
227.0,20.491659065588966
228.0,20.48921418977948
229.0,20.486706101593523
230.0,20.48413065678513
231.0,20.481540090904108
232.0,20.478894271223364
233.0,20.476157329335326
234.0,20.4733527414709
235.0,20.47052640810209
236.0,20.467764911188997
237.0,20.465069199148807
238.0,20.462457562976418
239.0,20.459859952241477
240.0,20.457262201219322
241.0,20.454691604891025
242.0,20.45209112869354
243.0,20.449430137094787
244.0,20.446775297185734
245.0,20.44411002360628
246.0,20.441394795129852
247.0,20.438579230115888
248.0,20.435771035705315
249.0,20.432935553789854
250.0,20.430094989218162
251.0,20.42726388722953
252.0,20.424479680252638
253.0,20.421745365388947
254.0,20.419020749756402
255.0,20.416214124264904
256.0,20.41332772389624
257.0,20.410343285695927
258.0,20.407266289049424
259.0,20.404103066164623
260.0,20.400845290043318
261.0,20.39749905125114
262.0,20.394127640161994
263.0,20.390762635185578
264.0,20.387429318984413
265.0,20.38419690009572
266.0,20.38103920587395
267.0,20.378003874272974
268.0,20.375108644718875
269.0,20.3723360057849
270.0,20.369652446406292
271.0,20.36703803440801
272.0,20.36454773929314
273.0,20.362191427014338
274.0,20.36000090340186
275.0,20.357965339545267
276.0,20.355987365897168
277.0,20.354080585560165
278.0,20.352296678574664
279.0,20.35062158726542
280.0,20.349156221818575
281.0,20.347832697596502
282.0,20.346653046250708
283.0,20.345529441298687
284.0,20.34434467888234
285.0,20.34315947231234
286.0,20.342016863069723
287.0,20.340883238148074
288.0,20.339745802490327
289.0,20.338528638053322
290.0,20.337235773930423
291.0,20.33578870848559
292.0,20.33427631363621
293.0,20.332671021942026
294.0,20.33101861518175
295.0,20.329369138808975
296.0,20.327761332560698
297.0,20.32622534261981
298.0,20.32472673726325
299.0,20.323189485209063
300.0,20.321571245759085
301.0,20.319962375679605
302.0,20.318322803629982
303.0,20.31665208960632
304.0,20.314907970794692
305.0,20.313085393998982
306.0,20.311223515932074
307.0,20.309346297472292
308.0,20.30740362727556
309.0,20.30534527814523
310.0,20.303222570869064
311.0,20.301054440181048
312.0,20.298793100498397
313.0,20.29640885233466
314.0,20.293926592394207
315.0,20.291445894127
316.0,20.288994499842083
317.0,20.28655581560859
318.0,20.284198160580367
319.0,20.281888602338796
320.0,20.279585491454288
321.0,20.277348164559907
322.0,20.275073687388527
323.0,20.272736663852825
324.0,20.270391876038143
325.0,20.268018028205418
326.0,20.26562307741783
327.0,20.263231781187756
328.0,20.26089256340303
329.0,20.25854496893221
330.0,20.25608382123621
331.0,20.253541187951424
332.0,20.250847862111367
333.0,20.24807226648833
334.0,20.245285485339263
335.0,20.242459446919813
336.0,20.23962593342143
337.0,20.23685682584213
338.0,20.234184495716757
339.0,20.231522647742132
340.0,20.228914669898202
341.0,20.226329462337564
342.0,20.223736428713103
343.0,20.221058765151554
344.0,20.218250025205876
345.0,20.215319496590702
346.0,20.212305587772676
347.0,20.209230662556983
348.0,20.20605266099024
349.0,20.20282666388687
350.0,20.19951790620585
351.0,20.19614688600749
352.0,20.192723766846733
353.0,20.18918591366853
354.0,20.185443728084294
355.0,20.181500916247145
356.0,20.177404822150322
357.0,20.17316425709397
358.0,20.16881747187739
359.0,20.16433815286763
360.0,20.15971046431404
361.0,20.154956341021922
362.0,20.150136809540534
363.0,20.145284571829645
364.0,20.140435854460254
365.0,20.13565574638666
366.0,20.130928302825062
367.0,20.12625961844222
368.0,20.121640548226395
369.0,20.117029015218165
370.0,20.112437725255006
371.0,20.107883534804937
372.0,20.103314746563754
373.0,20.098781716010986
374.0,20.094264655879755
375.0,20.089759934124825
376.0,20.085269905978528
377.0,20.080812670717172
378.0,20.076316726219087
379.0,20.071733909473256
380.0,20.06703866275868
381.0,20.06221717880131
382.0,20.05721987969524
383.0,20.052058559085044
384.0,20.046683425510547
385.0,20.041139277387902
386.0,20.035493856413577
387.0,20.02979273505875
388.0,20.023975714471767
389.0,20.01807350372253
390.0,20.012144762686194
391.0,20.006145756341116
392.0,20.000198802031967
393.0,19.99429326357474
394.0,19.988446656668025
395.0,19.982700182667635
396.0,19.97703997823355
397.0,19.971468320799662
398.0,19.965885589815784
399.0,19.960376080288928
400.0,19.95503432756689
401.0,19.94988312078869
402.0,19.944944218225785
403.0,19.94018099155416
404.0,19.93561847299246
405.0,19.931208757834504
406.0,19.927001690069567
407.0,19.923014131920528
408.0,19.919216529647834
409.0,19.915575632125766
410.0,19.912110540625584
411.0,19.90878560664211
412.0,19.905557285101622
413.0,19.902385483879026
414.0,19.899243752747203
415.0,19.89614849673918
416.0,19.893156394548086
417.0,19.890194248974552
418.0,19.887132662013673
419.0,19.88397468226256
420.0,19.880692017586018
421.0,19.877284307892687
422.0,19.873780205729446
423.0,19.870178775424925
424.0,19.86650853176647
425.0,19.862798624958007
426.0,19.85912490760602
427.0,19.8555255093103
428.0,19.852018011109436
429.0,19.848584313306866
430.0,19.84520278983755
431.0,19.84190680177763
432.0,19.838697863465057
433.0,19.835519624081865
434.0,19.832352309772773
435.0,19.829218210532016
436.0,19.826096810070215
437.0,19.82304526028678
438.0,19.82008173486371
439.0,19.817209753882562
440.0,19.81439894656105
441.0,19.811571560060347
442.0,19.808799033261483
443.0,19.806077933993905
444.0,19.803466336161943
445.0,19.800918276593283
446.0,19.7984888333144
447.0,19.796137218892678
448.0,19.793920892832546
449.0,19.791829089112124
450.0,19.78984688506773
451.0,19.787957365161486
452.0,19.786244072431955
453.0,19.784716281358907
454.0,19.783435140176277
455.0,19.782396695098853
456.0,19.781587061500122
457.0,19.780934052031363
458.0,19.78042966890211
459.0,19.780087472158897
460.0,19.779902832325966
461.0,19.779891832105015
462.0,19.779966186306055
463.0,19.780107009456362
464.0,19.78028179653488
465.0,19.780529026040952
466.0,19.780790787129384
467.0,19.781005355596054
468.0,19.7811576733784
469.0,19.781295017477305
470.0,19.781449048840763
471.0,19.78165239574506
472.0,19.781894370219355
473.0,19.782213247785673
474.0,19.782586472043782
475.0,19.783027811440167
476.0,19.78348145295522
477.0,19.78390222961573
478.0,19.78432247582645
479.0,19.784743047755573
480.0,19.785111741725938
481.0,19.785338630009875
482.0,19.7853280482675
483.0,19.78507095250826
484.0,19.784606562932897
485.0,19.78400410761292
486.0,19.783226989607165
487.0,19.782282089164752
488.0,19.78113396873203
489.0,19.77984174456055
490.0,19.778490433876584
491.0,19.777057166819734
492.0,19.77554505484114
493.0,19.773970014178577
494.0,19.772254220249287
495.0,19.77038149578334
496.0,19.768368568628198
497.0,19.766202512051755
498.0,19.763955284672306
499.0,19.76163202027299
500.0,19.75918719834991
501.0,19.75659205553918
502.0,19.753954845746055
503.0,19.751365521480515
504.0,19.74892101110844
505.0,19.746662005284225
506.0,19.744593160143452
507.0,19.74262163122341
508.0,19.740756712180527
509.0,19.739002144950494
510.0,19.737382372184992
511.0,19.735851801680674
512.0,19.73442193469917
513.0,19.73303896401044
514.0,19.73168531066984
515.0,19.7303588797042
516.0,19.72901476983069
517.0,19.727594402758086
518.0,19.72605647880303
519.0,19.724376730834052
520.0,19.72255489012045
521.0,19.720572056235643
522.0,19.71852216145273
523.0,19.716404867877802
524.0,19.714260196762808
525.0,19.712146083794636
526.0,19.710077576764593
527.0,19.70810107736396
528.0,19.706136389206943
529.0,19.70421972207339
530.0,19.702340813526757
531.0,19.700537444390253
532.0,19.698757005642452
533.0,19.69695797954155
534.0,19.69513473767505
535.0,19.693301681383154
536.0,19.691479877271966
537.0,19.689649619661804
538.0,19.687770660526937
539.0,19.685863515575367
540.0,19.683933903775127
541.0,19.68198318900292
542.0,19.680039413625554
543.0,19.67814501218936
544.0,19.676318206904835
545.0,19.674559768069535
546.0,19.67284306112781
547.0,19.6711455268515
548.0,19.66952380196901
549.0,19.667990655680267
550.0,19.666480612173
551.0,19.664948544358158
552.0,19.66344684711275
553.0,19.662027090666612
554.0,19.66060096867066
555.0,19.659215751119778
556.0,19.657866600858423
557.0,19.65660101807478
558.0,19.655377019319836
559.0,19.654235522484438
560.0,19.653220003844698
561.0,19.65223365623215
562.0,19.651299323845368
563.0,19.650505204861517
564.0,19.64988674364994
565.0,19.64948412270066
566.0,19.64929201401236
567.0,19.64921926204585
568.0,19.64920283249368
569.0,19.649250902774682
570.0,19.649350426142853
571.0,19.649579148965607
572.0,19.649888516267456
573.0,19.65017265619958
574.0,19.65040004140841
575.0,19.650620809285105
576.0,19.650834607367997
577.0,19.651115851685244
578.0,19.65141876406759
579.0,19.6517977219648
580.0,19.65222012300161
581.0,19.652653085146227
582.0,19.653123212239837
583.0,19.65363236141552
584.0,19.654177243110276
585.0,19.654752514891698
586.0,19.655308062569137
587.0,19.65579632687572
588.0,19.65624522344623
589.0,19.65664201923428
590.0,19.656955518763457
591.0,19.65722709192462
592.0,19.657437125430118
593.0,19.657566293101226
594.0,19.65773656440682
595.0,19.65788439657699
596.0,19.657903179487512
597.0,19.65774744698383
598.0,19.657429975161502
599.0,19.656967188419646
600.0,19.65640334412704
601.0,19.655807535288528
602.0,19.655139364106144
603.0,19.654385394252873
604.0,19.653497970200817
605.0,19.65255527493872
606.0,19.651565295171995
607.0,19.650506827891068
608.0,19.649359627645854
609.0,19.64814856378976
610.0,19.646960771979707
611.0,19.64585420915854
612.0,19.644788454873275
613.0,19.643779224567147
614.0,19.642774296078805
615.0,19.641721299515172
616.0,19.640573063832782
617.0,19.63936345759175
618.0,19.638036350457174
619.0,19.636618374867034
620.0,19.63505887908778
621.0,19.633340354328013
622.0,19.631551342322428
623.0,19.629641363115542
624.0,19.62773414845753
625.0,19.62586685603318
626.0,19.624050720049627
627.0,19.622303459833173
628.0,19.620595927995065
629.0,19.618874270382076
630.0,19.617115174556
631.0,19.615302034784825
632.0,19.613396398695677
633.0,19.61143567228619
634.0,19.60942313817959
635.0,19.60742476267585
636.0,19.60543886299519
637.0,19.603407096377826
638.0,19.601300049724067
639.0,19.599157448714685
640.0,19.597024803785306
641.0,19.594903963540485
642.0,19.59273854389622
643.0,19.590568266844226
644.0,19.58837863292108
645.0,19.58621052879256
646.0,19.58408888524434
647.0,19.582077989874463
648.0,19.580183843223235
649.0,19.578469692156943
650.0,19.57694001830958
651.0,19.57560298988941
652.0,19.574488794612172
653.0,19.57352052129272
654.0,19.572676066766974
655.0,19.571928038274315
656.0,19.571218710315364
657.0,19.570550118232777
658.0,19.569943745032752
659.0,19.569406767545825
660.0,19.56892898908156
661.0,19.56848665114459
662.0,19.56805064474829
663.0,19.567665927334584
664.0,19.567262903268112
665.0,19.56683620084623
666.0,19.566360002983707
667.0,19.56578303228278
668.0,19.565127780952
669.0,19.564320205828185
670.0,19.56339326748444
671.0,19.562378259575052
672.0,19.56128152040583
673.0,19.56007028820407
674.0,19.558794094738182
675.0,19.557499133542315
676.0,19.556122602486383
677.0,19.55465172728444
678.0,19.55311990453846
679.0,19.551455587460925
680.0,19.54970044312665
681.0,19.547878702209005
682.0,19.545942018518137
683.0,19.543893059478233
684.0,19.541722163144968
685.0,19.53940494775411
686.0,19.536906883658123
687.0,19.53429594092325
688.0,19.53161926436167
689.0,19.52892748414109
690.0,19.526183128534885
691.0,19.52335735957165
692.0,19.520479611298793
693.0,19.51757140482419
694.0,19.514649879900784
695.0,19.51176468122213
696.0,19.508975924328826
697.0,19.506240935820465
698.0,19.503561087270167
699.0,19.50092448558153
700.0,19.49832674246329
701.0,19.495787335838138
702.0,19.49331525217622
703.0,19.490865793385982
704.0,19.488461550459405
705.0,19.486140848407604
706.0,19.48394166535093
707.0,19.481926687504203
708.0,19.480015233088636
709.0,19.47828651551739
710.0,19.476611025516384
711.0,19.474958553079635
712.0,19.473347888086103
713.0,19.471771622886635
714.0,19.47028660989598
715.0,19.468845326113883
716.0,19.467503653512104
717.0,19.466330768434023
718.0,19.46533138434569
719.0,19.464448641020084
720.0,19.46367162541792
721.0,19.463014391434598
722.0,19.462497770648298
723.0,19.462153242053933
724.0,19.461960558070285
725.0,19.461858965223396
726.0,19.461838094956562
727.0,19.461867990183414
728.0,19.461915900417733
729.0,19.46200915909011
730.0,19.46210798080944
731.0,19.462243170686484
732.0,19.462467418332068
733.0,19.46273058684371
734.0,19.46303165015515
735.0,19.46331632560048
736.0,19.463665981609985
737.0,19.464080801937907
738.0,19.464480584983022
739.0,19.46485200982394
740.0,19.46514206727014
741.0,19.465306606653225
742.0,19.46533473603479
743.0,19.465295165979423
744.0,19.465207472311715
745.0,19.465070315386217
746.0,19.46490872673961
747.0,19.464694590831197
748.0,19.464421300724425
749.0,19.464060336916543
750.0,19.463665706387207
751.0,19.463177527525392
752.0,19.462575408356685
753.0,19.461841091379352
754.0,19.460978735873034
755.0,19.460002121733563
756.0,19.45891658449323
757.0,19.45773372926738
758.0,19.456494619919454
759.0,19.45512670406286
760.0,19.45362566441784
761.0,19.45201063558157
762.0,19.450326792905642
763.0,19.448592729896344
764.0,19.44687042936197
765.0,19.445194871644286
766.0,19.443573578388907
767.0,19.442009833963418
768.0,19.440497598084537
769.0,19.43899194483929
770.0,19.43749790326591
